Date,Time,Rating,Lowest,2nd-Lowest,3rd-Lowest,Average
21.08.2023,15:02,84.0,1900.0,2000.0,2400.0,2630.0
21.08.2023,15:02,86.0,5000.0,5000.0,5100.0,5210.0
21.08.2023,15:02,89.0,10800.0,11000.0,11300.0,11220.0
21.08.2023,16:09,84.0,2000.0,2700.0,2800.0,2800.0
21.08.2023,16:09,86.0,5100.0,5300.0,5500.0,5590.0
21.08.2023,16:09,89.0,10500.0,11300.0,11300.0,11220.0
21.08.2023,16:17,84.0,2800.0,2800.0,2900.0,2930.0
21.08.2023,16:17,86.0,5100.0,5300.0,5500.0,5590.0
21.08.2023,16:17,89.0,11300.0,11300.0,11300.0,11300.0
